Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Graham DeLaet,88,64.74,2010,305.7,71.27,30.07,61.56,70.645,393,0,1,-0.36,0.396,0.678,0.111,-0.038,"954,011"
John Rollins,81,64.58,2010,295.5,68.18,29.59,59.27,70.728,634,0,2,-0.216,0.497,0.56,-0.074,0.224,"1,182,736"
D.A. Points,90,64.52,2010,283,67.9,29.74,58.65,70.958,544,0,3,-0.1,0.199,0.045,0.191,0.066,"975,433"
Y.E. Yang,72,64.31,2010,288.6,65.95,29.07,56.18,71.033,678,0,2,0.188,0.166,0.316,-0.252,-0.083,"1,301,726"
Mathias Grönberg,61,64.28,2010,293.7,66.77,29.87,58.36,71.614,198,0,1,-0.184,-0.286,0.222,-0.236,-0.085,"322,130"
Brandt Snedeker,89,64.27,2010,277.1,62.36,27.97,61.19,70.258,813,0,4,0.464,0.572,-0.287,0.088,0.308,"1,602,690"
Davis Love III,79,64.2,2010,297.7,70.25,30.24,54.37,70.888,475,0,3,-0.51,0.173,0.297,0.364,0.019,"1,214,472"
Rickie Fowler,98,64.19,2010,292.7,69.9,29.3,59.51,70.429,"1,147",0,5,0.129,0.793,0.408,0.395,-0.138,"2,857,108"
Charlie Wi,95,64.19,2010,281.2,66.55,28.58,65.56,70.284,690,0,3,0.574,0.679,-0.286,0.28,0.127,"1,568,492"
Steve Wheatcroft,74,64.12,2010,287.1,63.47,29.39,51.84,71.53,213,0,1,0.211,-0.626,0.002,-0.65,-0.185,"408,595"
Trevor Immelman,55,64.07,2010,286.4,66.06,29.89,59.52,71.162,266,0,0,0.074,-0.324,-0.501,0.005,0.095,"422,171"
Nicholas Thompson,88,64.04,2010,289.2,67.86,30.2,49.38,71.815,284,0,1,-0.885,-0.875,0.261,0.081,-0.331,"546,476"
Stewart Cink,84,63.98,2010,292.4,68.61,29.48,57.08,70.431,678,0,3,0.19,0.827,0.431,0.309,-0.111,"1,573,636"
Sean O'Hair,84,63.98,2010,289.3,68.22,29.8,61.83,70.603,858,0,3,-0.071,0.615,0.431,0.198,0.068,"1,859,040"
Kevin Johnson,62,63.85,2010,276.5,62.5,29.46,51.32,72.878,53,0,0,-0.35,-2.147,-0.822,-0.895,-0.077,"69,806"
Sergio Garcia,58,63.75,2010,292.7,66.13,29.88,54.57,71.076,461,0,1,-0.36,0.068,0.272,0.199,-0.046,"936,845"
Josh Teater,101,63.69,2010,293.1,68.8,29.74,56.83,71.116,502,0,2,-0.314,-0.109,0.428,-0.142,-0.08,"1,005,323"
Michael Letzig,84,63.47,2010,289.7,67.92,29.42,56.08,70.951,415,0,1,-0.071,0.029,0.115,-0.121,0.118,"563,729"
Michael Connell,89,63.4,2010,281.3,66.94,29.12,59.13,70.9,314,0,1,0.337,0.142,-0.284,0.081,0.007,"846,459"
Jarrod Lyle,54,63.4,2010,296.2,65.34,29.24,57.84,70.835,227,0,2,0.049,0.027,0.266,-0.441,0.157,"422,760"
Michael Sim,64,63.35,2010,283.3,65.34,28.75,61.58,70.896,573,0,3,0.518,0.235,-0.351,-0.237,0.306,"1,338,926"
Vijay Singh,75,63.28,2010,292.3,68.62,29.84,56.46,70.343,588,0,2,-0.739,0.753,0.369,0.979,0.145,"1,334,262"
Bryce Molder,84,63.16,2010,278,65.28,28.69,62.4,70.403,748,0,6,0.476,0.507,-0.406,0.235,0.205,"1,428,438"
Ryuji Imada,90,63.11,2010,278.7,64.51,28.4,63.13,70.753,445,0,2,0.551,0.286,-0.298,-0.207,0.24,"1,028,869"
Brian Stuard,81,63.09,2010,286.9,65.04,29.43,54.45,71.595,226,0,1,0.289,-0.746,-0.204,-0.77,-0.058,"536,497"
Chris Tidland,77,63.08,2010,288.1,66.36,29.22,57.47,71.255,271,0,1,0.231,-0.004,0.285,-0.508,-0.015,"588,291"
Chris Stroud,90,62.98,2010,287.2,69.31,29.77,57.4,70.966,369,0,2,0.062,0.229,0.01,0.077,0.081,"942,082"
Jeff Gove,57,62.96,2010,288.7,69.72,31,50.36,72.401,77,0,0,-0.947,-1.164,0.081,-0.045,-0.248,"92,155"
Kevin Stadler,86,62.96,2010,290.2,67.95,29.53,56,71.149,394,0,4,-0.275,-0.221,0.237,0.12,-0.301,"931,720"
Lucas Glover,75,62.84,2010,295.7,67.42,29.65,54.15,70.949,743,0,3,-0.115,0.297,0.285,0.138,-0.006,"1,511,275"
Carl Pettersson,99,62.82,2010,282.1,63.8,28.24,62.06,70.552,"1,142",0,4,0.818,0.554,-0.18,-0.152,0.069,"1,934,465"
Shaun Micheel,70,62.67,2010,283.2,64.61,28.77,61.27,70.499,595,0,3,0.235,0.487,-0.136,0.182,0.205,"1,025,500"
Johnson Wagner,85,62.59,2010,282.4,68.24,29.52,58.1,71.113,197,0,0,0.065,-0.095,-0.356,0.323,-0.128,"753,802"
