Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Ethan Tracy,23,157,0,0,-0.026,299,-0.786,-0.054,-0.423,-0.309,-0.026,72.038,1224,28,
Fabian Gomez,28,221,0,0,0.001,291.1,-0.107,-0.062,-0.015,-0.03,0.001,71.02,1512,39,
Graeme McDowell,20,274,0,1,0.489,293.2,0.216,0.143,-0.026,0.099,0.489,71.001,1062,39,
Grayson Murray,22,438,0,2,-0.35,307.3,0.014,0.375,-0.347,-0.015,-0.35,72.091,1296,24,
Greg Chalmers,20,133,0,1,0.79,282.8,-2.055,-0.69,-1.192,-0.174,0.79,72.531,936,44,
Harold Varner III,27,524,0,3,-0.026,308.2,0.209,0.209,-0.052,0.052,-0.026,70.971,1602,28,
Harris English,31,383,0,2,0.222,302.4,-0.406,-0.219,-0.297,0.111,0.222,71.162,1404,29,
Henrik Stenson,15,881,0,5,-0.433,291,1.479,0.587,0.975,-0.084,-0.433,69.617,1008,42,
Hideki Matsuyama,19,1271,0,3,0.197,302.5,0.927,0.164,0.503,0.26,0.197,70.089,1224,28,
Hudson Swafford,22,245,0,0,-0.26,302.8,-0.232,0.225,-0.237,-0.221,-0.26,71.619,1206,27,
Hunter Mahan,21,234,0,1,0.346,296.9,-0.137,0.465,-0.149,-0.453,0.346,71.135,1134,36,
J.B. Holmes,24,668,0,3,-0.207,306.1,0.756,0.565,0.159,0.032,-0.207,70.789,1350,34,
J.J. Henry,28,239,0,1,-0.569,291.8,0.376,0.174,0.34,-0.138,-0.569,71.372,1350,39,
J.J. Spaun,26,880,0,4,-0.167,298.9,0.529,0.319,0.453,-0.244,-0.167,70.525,1422,29,
J.T. Poston,22,448,0,2,0.135,300.7,0.003,0.381,-0.373,-0.005,0.135,70.915,1278,31,
James Hahn,26,666,0,1,-0.152,298.7,0.431,0.323,0.081,0.028,-0.152,70.896,1476,32,
Jamie Lovemark,26,664,0,3,0.01,303.2,0.378,-0.101,-0.04,0.519,0.01,70.734,1584,29,
Jason Dufner,22,557,0,2,-0.031,296.9,-0.074,0.259,-0.126,-0.207,-0.031,71.323,1152,41,
Jason Kokrak,28,881,0,4,0.009,309.7,0.513,0.359,0.268,-0.113,0.009,70.444,1782,33,
